279,PURCH/POSS ALCOHOL FOR MINOR
280,FALSE SWEARING FOR PURPOSE OF VIOLATING PUBLIC HEALTH OR SAFETY
281,POSSESSION OF FIREARM BY A PERSON CONVICTED OF DOMESTIC ABUSE BATTERY
282,TAIL LAMP/LICENSE PLATE
283,FALSE IMPRISONMENT
284,DRAG RACING W/O INJURY
285,"MASKS OR HOODS, WEARING IN PUBLIC PLACES PROHIBITED"
286,DRAG RACING/PUB ROAD/CC
287,SECOND DEGREE ROBBERY
288,OBSTRUCTION OF JUSTICE - COUNTERFEITING / FORGERY
289,DRINKING/ MOTOR VEHICLE (OPEN CONTAINER) /CC
290,POSSESSION OF FIREARM ON PREMISES OF ALCOHOLIC BEVERAGE OUTLET
291,MVI REQUIRED
292,DISTURBING THE PEACE - VIOLENT OR TUMULTUOUS MANNER
293,DIST/PEACE/INTOXICATION/CC
294,MOLESTATION OF A JUVENILE
295,ORAL SEXUAL BATTERY
296,ORGANIZED RETAIL THEFT
297,RECKLESS OPERATION OF AN OFF-ROAD VEHICLE
298,SECOND DEGREE RAPE/ANAL
299,FAILURE TO REPORT ACCIDENT
300,SPEEDING (21-30 MPH OVER LIMIT)
301,OTHER LAWS OF THE ROAD/CC
302,CRIMINAL TRESPASS - TRESPASS OF REAL PROPERTY
303,FIRST DEGREE VEHICULAR NEGLIGENT INJURING
304,FAIL TO LEAVE PREM
305,FIRST DEGREE RAPE/VAGINAL
306,DRIVING WHILE INTOXICATED - ALCOHOL AND DRUGS
307,INSPECTION STICKER REQUIRED
308,PUBLIC DRINKING PROHIBITED
309,BURGLARY/S INHAB DWELLING
310,ILLEGALLY SUPPLYING A FELON WITH A FIREARM
311,"RENTED OR LEASED MOTOR VEHICLES; OBTAINING BY FALSE REPRESENTATION, ETC.; FAILURE TO RETURN"
312,DISTURBING THE PEACE; OFFENSIVE NOISES
313,POSSESSION OF UNIDENTIFIABLE FIREARM; PARTICULAR PENALTIES; IDENTIFICATION OF SOURCE OF FIREARM
314,UNAUTHORIZED ENTRY UPON RAILROAD PROPERTY
315,EXTORTION
316,RESISTING A POLICE OFFICER WITH FORCE OR VIOLENCE
317,CYBERBULLYING - THREATS / INTIMIDATION
318,POSSESSION OF ALCOHOLIC BEVERAGES IN MOTOR VEHICLES
319,POSSESSION OF HEROIN
320,CLANDESTINE LAB
321,STOP LAMPS AND TURN SIGNALS REQUIRED ON MOTOR VEHICLES
322,UNLAWFUL ENTRY ONTO PREMISES
323,UNAUTHORIZED ENTRY OF AN INHABITED DWELLING
324,DISTURBING THE PEACE; SIMPLE BATTERY
325,CRUELTY TO THE INFIRM
326,SIMPLE ARSON
327,HEADLAMPS; WHEN LOW BEAMS REQUIRED
328,FAIL TO REG VEH
329,POSSESSION OF SCHEDULE V
330,OPERATING WHILE INTOXICATED 3RD OFFENSE
331,HIT & RUN/CC
332,POSSESSION OR DEALING IN UNREGISTERED OR ILLEGALLY TRANSFERRED WEAPONS
333,HEADLAMPS REQ AT NIGHT AND INCLEMENT WETHER
334,ASSAULT BY DRIVE-BY SHOOTING
335,MAXIMUM SPEED LIMIT
336,SWITCHED LICENSE PLATE  - CT
337,INTERFERING WITH EMERGENCY COMMUNICATION
338,STOP SIGN
339,LICENSE PLATE; SWITCHED
340,SIMPLE BATTERY OF THE INFIRM
341,SEXTING (UNDER 17)
342,DISTURBING THE PEACE - LANGUAGE
343,DRIVING ON ROADWAY LANED FOR TRAFFIC (IMPROPER LANE USE)
344,INTERFERENCE WITH FIRST RESPONDER
345,POSSESSION FIREARMS WITH OBLITERATED NUMBERS
346,INTENTIONAL EXPOSURE TO AIDS VIRUS
347,VIDEO VOYEURISM
348,D W I /CC
349,DOMESTIC ABUSE BATTERY/CC
350,MISDEMEANOR SEXUAL BATTERY/RUBBING/TOUCHING
351,FIRST DEGREE RAPE - ANAL
352,OPERATING A VEHICLE UNDER SUSPENSION FOR CERTAIN PRIOR OFFENSES
353,CYBERSTALKING/ELECTRONIC MAIL
354,VEH TRESPASS
355,AGGRAVATED ASSAULT ON A PEACE OFFICER
356,"HEADLAMPS, WHEN REQUIRED"
357,DISTURBING THE PEACE - DRUNKENNESS
358,RECKLESS OPERATION OF AN OFFROAD VEHICLE
359,TRESPASS
360,AGGRAVATED ASSAULT ON AN UTILITY SERVICE EMPLOYEE WITH A FIREARM
361,THEFT OF DOGS
362,MISSING PERSON - ADULT
363,POSS F/ARM/BREC PARK/CC
364,THEFT OF UTILITY SERVICES
365,IMPROPER EQUIPMENT
366,VIOLATIONS OF REGISTRATION PROVISIONS
367,SPEEDING (16-20 MPH OVER LIMIT)
368,THREATENING A PUBLIC OFFICIAL
369,INSURANCE REQUIRED/CC
370,THEFT OF A CATALYTIC CONVERTER OR ENGINE CONTROL MODULE
371,DRIVERS LICENSE NOT ON PERSON
372,SOLICITATION FROM ROADWAY
373,DISTURBING THE PEACE / LANGUAGE
374,NO PASSING ZONES
375,CRIMINAL MISCHIEF - DRIVING NAILS INTO TREES
376,OPERATING WHILE INTOXICATED; SECOND OFFENSE
377,NOISE ORDINANCE/CC
378,WARRANT/BENCH WARRANT
379,RESISTING AN OFFICER - REFUSAL TO GIVE NAME / IDENTIFICATION
380,JUVENILE CURFEW VIOLATION/CC
381,FIRST DEGREE ROBBERY
382,EQUIPMENT VIOLATION
383,MODIFICATION OF EXHAUST SYSTEMS
384,THEFT - POCKET PICKING
385,UNAUTHORIZED REMOVAL OF A MOTOR VEHICLE
386,UNATTENDED MOTOR VEHICLES
387,INTIMIDATING
388,DRUG PARAPHERNALIA
389,FALSE MVI
390,THEFT/MISDEMEANOR
